Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
lekur,28,"['sfg3en', 27, 'lkensf', 1]",legur,20,"['nvfn', 11, 'nvfo', 8, 'lkensf', 1]",False,False
brakar,7,"['sfg3en', 7]",bragar,1,"['nkee', 1]",True,False
bank,16,"['e', 6, 'nhen', 6, 'nheo', 4]",bang,14,"['au', 12, 'nxeos', 1, 'x', 1]",True,False
klær,19,"['nvfo', 16, 'nvfn', 3]",glær,9,"['lkensf', 6, 'lvensf', 2, 'nken', 1]",True,False
lýkur,144,"['sfg3en', 142, 'sfg2en', 1, 'sfg2fn', 1]",lýgur,40,"['sfg3en', 25, 'sfg2en', 15]",False,False
lekið,12,"['ssg', 12]",legið,216,"['ssg', 189, 'nheog', 13, 'sþghen', 10, 'nheng', 4]",False,False
kekk,1,"['nkeo', 1]",gekk,2597,"['sfg3eþ', 2388, 'sfg1eþ', 207, 'sfg1en', 1, 'sfg1fþ', 1]",True,False
klámi,5,"['nheþ', 5]",glámi,3,"['nkeþ', 3]",True,False
kremja,10,"['sng', 9, 'sfg3fn', 1]",gremja,15,"['nven', 11, 'sfg3fn', 2, 'sng', 2]",False,False
köllum,62,"['sfg1fn', 29, 'nhfþ', 13, 'svg1fn', 8, 'nvfþ', 6, 'nkfþ', 6]",göllum,10,"['nkfþ', 8, 'nhfþ', 2]",False,False
kallar,306,"['sfg3en', 276, 'nkfn', 17, 'sfg2en', 13]",gallar,7,"['nkfn', 7]",False,False
rakt,32,"['lhensf', 26, 'lheosf', 6]",ragt,1,"['lhensf', 1]",False,False
kaldri,22,"['lveþsf', 21, 'nheþ', 1]",galdri,10,"['nkeþ', 9, 'svg3fn', 1]",True,False
keim,37,"['nkeo', 37]",geim,8,"['nheo', 3, 'nkeo', 2, 'nhen', 1, 'nkeþ', 1, 'nhfo', 1]",False,False
eik,19,"['nveþ', 13, 'nvens', 3, 'nven', 2, 'nveo', 1]",eig,5,"['sbg2en', 3, 'x', 2]",True,False
makar,5,"['nkfn', 4, 'sfg3en', 1]",magar,1,"['nkfn', 1]",False,False
ker,13,"['nhfn', 4, 'nheo', 4, 'nhfo', 2, 'nhens', 2, 'nhen', 1]",ger,18,"['lkensf', 4, 'nhen', 4, 'nheo', 3, 'lvensf', 3, 'sbg2en', 3, 'lhfnsf', 1]",False,False
víkin,2,"['nveng', 2]",vígin,2,"['nhfng', 1, 'nhfog', 1]",True,False
slaka,49,"['sng', 39, 'sfg1en', 3, 'nven', 3, 'lkfosf', 1, 'lveosf', 1, 'sfg3fn', 1, 'nkeþ', 1]",slaga,7,"['sng', 4, 'sfg3fn', 2, 'nkeo', 1]",False,False
víkja,101,"['sng', 98, 'sfg3fn', 3]",vígja,24,"['sng', 24]",False,False
kubba,9,"['nkfo', 4, 'nkeþs', 3, 'nkees', 1, 'nkeþ', 1]",gubba,8,"['sng', 7, 'sfg1en', 1]",True,False
bauka,18,"['sng', 16, 'nkfo', 2]",bauga,9,"['nkfo', 8, 'nkfe', 1]",False,False
lakið,11,"['nheog', 8, 'nheng', 3]",lagið,212,"['nheog', 117, 'nheng', 73, 'lhensf', 19, 'lheþsf', 3]",False,False
karfa,6,"['nven', 3, 'nkeþ', 2, 'nkfo', 1]",garfa,5,"['sng', 3, 'sfg3fn', 2]",True,False
kjarna,65,"['nkeo', 29, 'nkeþ', 23, 'sng', 6, 'sfg3fn', 3, 'nkee', 2, 'nkfe', 2]",gjarna,69,"['aa', 62, 'lkfosf', 2, 'lhenvf', 1, 'lveosf', 1, 'lkeovf', 1, 'lvenvf', 1, 'lheþvf', 1]",True,False
frekna,1,"['nven', 1]",fregna,9,"['sng', 3, 'lveosf', 3, 'nvfe', 2, 'lheþvf', 1]",True,False
krefst,68,"['sfm3en', 58, 'sfm1en', 10]",grefst,2,"['sfm3en', 2]",False,False
veikri,4,"['lveþsf', 4]",veigri,1,"['svg3fn', 1]",True,False
sveik,35,"['sfg3eþ', 29, 'sfg1eþ', 6]",sveig,17,"['nkeo', 11, 'nkeþ', 6]",True,False
makt,2,"['nveo', 2]",magt,1,"['nveþ', 1]",True,False
