Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
bakarí,23,"['nheo', 10, 'nhen', 6, 'nheos', 3, 'nhfn', 2, 'nhfo', 2]",bakari,20,"['nken', 20]",True,False
íl,1,"['nkeo', 1]",il,9,"['e', 8, 'nveþ', 1]",True,False
drífum,12,"['sfg1fn', 8, 'svg1fn', 3, 'nvfþ', 1]",drifum,7,"['sfg1fn', 6, 'svg1fn', 1]",False,False
kíki,31,"['sfg1en', 14, 'nkeo', 6, 'nkeþ', 5, 'svg3en', 4, 'x', 1, 'svg3fn', 1]",kiki,10,"['e', 10]",True,False
kíma,3,"['sng', 3]",kima,36,"['nkeo', 30, 'nkfo', 3, 'nkee', 2, 'nkeþ', 1]",True,False
klípi,1,"['svg3en', 1]",klipi,1,"['svg3eþ', 1]",True,False
vínum,11,"['nhfþ', 11]",vinum,190,"['nkfþ', 188, 'nvfþ', 2]",True,False
þítt,2,"['ssg', 1, 'lhensf', 1]",þitt,370,"['feheo', 214, 'fehen', 155, 'lhensf', 1]",False,False
týpískt,7,"['lhensf', 7]",týpiskt,2,"['lhensf', 2]",False,True
fínni,21,"['lveþsf', 10, 'lkenvm', 2, 'lkfþvm', 2, 'lhfnvm', 1, 'lvenvm', 1, 'lvfovm', 1, 'lhfþvm', 1, 'lvfþvm', 1, 'lkeþvm', 1, 'lkfnvm', 1]",finni,72,"['svg3en', 38, 'nkeþs', 22, 'svg1en', 5, 'nken', 5, 'svg3fn', 2]",True,False
vínin,7,"['nhfog', 4, 'nhfng', 3]",vinin,1,"['nveng', 1]",True,False
vínunum,1,"['nhfþg', 1]",vinunum,16,"['nkfþg', 10, 'nvfþg', 6]",True,False
grípi,4,"['svg3en', 3, 'svg3fn', 1]",gripi,45,"['nkfo', 27, 'svg3eþ', 12, 'nken', 3, 'nheþ', 2, 'svg1eþ', 1]",True,False
vígt,10,"['sþghen', 5, 'lhensf', 3, 'ssg', 2]",vigt,5,"['nveo', 4, 'nven', 1]",True,False
fínna,8,"['x', 8]",finna,1630,"['sng', 1573, 'sfg3fn', 38, 'nvens', 9, 'nkfes', 5, 'nkeþ', 3, 'nkfos', 1, 'nkeo', 1]",True,False
hlíðar,35,"['nvfo', 22, 'nvees', 5, 'nkeos', 4, 'nvfn', 2, 'nvees', 1, 'nkens', 1]",hliðar,291,"['nvee', 222, 'nvfo', 55, 'nvfn', 12, 'sfg3en', 1, 'nvee', 1]",False,False
vínanna,1,"['nhfeg', 1]",vinanna,9,"['nvfeg', 5, 'nkfeg', 4]",True,False
tínd,4,"['lvensf', 2, 'lhfnsf', 2]",tind,13,"['nkeo', 11, 'nkeos', 2]",True,False
svífum,3,"['sfg1fn', 3]",svifum,41,"['nhfþ', 38, 'sfg1fþ', 3]",True,False
lítum,36,"['sfg1fn', 36]",litum,146,"['nkfþ', 100, 'sfg1fþ', 20, 'sfg1fn', 11, 'nvfþ', 6, 'lhfþsf', 3, 'lkeþsf', 3, 'svg1fn', 1, 'lkfþsf', 1, 'svg1fþ', 1]",False,False
karrí,26,"['nhen', 19, 'nheþ', 5, 'nheo', 2]",karri,5,"['nken', 5]",True,False
pítsur,1,"['nvfn', 1]",pitsur,2,"['nvfo', 2]",True,False
rífur,54,"['sfg3en', 52, 'lkensf', 2]",rifur,11,"['nvfo', 9, 'nken', 1, 'nvfn', 1]",True,False
