Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
drukkinn,78,"['lkensf', 70, 'nkeog', 7, 'lkeosf', 1]",drukkin,29,"['lvensf', 24, 'lhfnsf', 3, 'lhfosf', 2]",TRUE,FALSE,29
drykkjufélaganna,1,"['nkfeg', 1]",drykkjufélagana,1,"['nkfog', 1]",TRUE,FALSE,1
drýldinn,5,"['lkensf', 4, 'lkeosf', 1]",drýldin,1,"['lvensf', 1]",TRUE,FALSE,1
dulbúinn,7,"['lkensf', 7]",dulbúin,3,"['lvensf', 3]",TRUE,FALSE,3
dulinn,11,"['nkeog', 4, 'lkensf', 3, 'lkeosf', 2, 'nkeng', 2]",dulin,16,"['lvensf', 8, 'lhfosf', 4, 'lhfnsf', 3, 'nveng', 1]",TRUE,FALSE,11
dulrænn,1,"['lkensf', 1]",dulræn,6,"['lvensf', 3, 'lhfosf', 2, 'lhfnsf', 1]",TRUE,FALSE,1
dulrænna,3,"['lvfesf', 3]",dulræna,2,"['lheþvf', 2]",TRUE,FALSE,2
dúnn,3,"['nken', 3]",dún,2,"['nheo', 1, 'nhen', 1]",TRUE,FALSE,2
dvergvaxinn,2,"['lkensf', 2]",dvergvaxin,2,"['lhfosf', 1, 'lvensf', 1]",TRUE,FALSE,2
dökkbrúnn,1,"['lkensf', 1]",dökkbrún,6,"['lvensf', 3, 'lhfosf', 2, 'lhfnsf', 1]",TRUE,FALSE,1
dökkgrænn,2,"['lkensf', 2]",dökkgræn,3,"['lvensf', 2, 'lhfnsf', 1]",TRUE,FALSE,2
efablandinn,1,"['lkensf', 1]",efablandin,2,"['lvensf', 2]",TRUE,FALSE,1
eftirmálinn,1,"['nkeng', 1]",eftirmálin,2,"['nhfng', 1, 'nhfog', 1]",TRUE,FALSE,1
eiginn,4,"['lkensf', 4]",eigin,1363,"['lveþof', 217, 'lheþof', 196, 'lveoof', 155, 'lkeþof', 147, 'lhfþof', 143, 'lvfoof', 100, 'lkfþof', 88, 'lkeoof', 84, 'lhfoof', 50, 'lvfþof', 43, 'lvenof', 36, 'lhfeof', 21, 'lheeof', 17, 'lkfoof', 11, 'lveeof', 11, 'lkenof', 11, 'lkeeof', 6, 'lhfosf', 5, 'lkfeof', 4, 'lhfnof', 4, 'lvfnof', 3, 'lheoof', 3, 'nhen', 2, 'lvensf', 2, 'nheo', 1, 'lkensf', 1, 'lkfesf', 1, 'lkfþsf', 1]",FALSE,FALSE,4
eindreginn,16,"['lkensf', 11, 'lkeosf', 5]",eindregin,13,"['lvensf', 5, 'lhfnsf', 4, 'lhfosf', 4]",TRUE,FALSE,13
einleikinn,1,"['nkeog', 1]",einleikin,1,"['lvensf', 1]",TRUE,FALSE,1
