Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
lágar,8,"['lvfnsf', 5, 'lvfosf', 2, 'nvfn', 1]",lagar,19,"['sfg3en', 16, 'nkfn', 3]",True,False
dráp,7,"['nheo', 4, 'nhfo', 1, 'nhen', 1, 'nhfn', 1]",drap,118,"['sfg3eþ', 94, 'sfg1eþ', 24]",True,False
bása,5,"['nkfos', 2, 'nkfo', 2, 'sng', 1]",basa,2,"['nkee', 1, 'nkeþ', 1]",True,False
gráða,6,"['nven', 4, 'sfg3fn', 2]",graða,1,"['lveosf', 1]",True,False
lásinn,15,"['nkeog', 11, 'nkeng', 4]",lasinn,22,"['lkensf', 22]",True,False
rása,8,"['sng', 4, 'nhfe', 2, 'nvfe', 1, 'sfg3fn', 1]",rasa,8,"['sng', 6, 'nkeo', 2]",False,False
mát,9,"['nkeo', 4, 'nhen', 4, 'nhfn', 1]",mat,546,"['nkeo', 250, 'nkeþ', 129, 'nhen', 83, 'nheo', 62, 'sfg3eþ', 12, 'sfg1eþ', 10]",False,False
málar,18,"['sfg3en', 16, 'nkfn', 1, 'sfg2en', 1]",malar,8,"['nkfn', 3, 'sfg3en', 3, 'nvee', 1, 'nkee', 1]",False,False
háll,7,"['lkensf', 7]",hall,16,"['nkens', 7, 'e', 6, 'nhens', 1, 'nkeos', 1, 'nkeþs', 1]",True,False
hváð,2,"['ssg', 2]",hvað,11582,"['fshen', 7641, 'fsheo', 3715, 'fohen', 133, 'foheo', 92, 'x', 1]",True,False
tálar,6,"['nvfo', 6]",talar,422,"['sfg3en', 367, 'sfg2en', 55]",True,False
fjári,7,"['nken', 7]",fjari,1,"['svg3en', 1]",True,False
kálið,5,"['nheog', 3, 'nheng', 2]",kalið,6,"['nheng', 3, 'nheog', 2, 'ssg', 1]",False,False
málarans,8,"['nkeeg', 8]",malarans,1,"['nkeeg', 1]",False,True
ráðhúsinu,14,"['nheþg', 8, 'nheþgs', 6]",raðhúsinu,4,"['nheþg', 4]",False,False
sálir,28,"['nvfo', 15, 'nvfn', 13]",salir,2,"['nkfn', 2]",True,False
málari,22,"['nken', 22]",malari,1,"['nken', 1]",False,True
ósátt,11,"['lvensf', 7, 'lhensf', 3, 'lhfnsf', 1]",ósatt,11,"['lheosf', 10, 'lhensf', 1]",False,False
