Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
stórskrýtið,1,"['lhensf', 1]",stórskrítið,1,"['lhensf', 1]",FALSE,TRUE,1
stórskrýtin,2,"['lhfnsf', 1, 'lvensf', 1]",stórskrítin,1,"['lvensf', 1]",FALSE,FALSE,1
stýfa,2,"['sng', 2]",stífa,10,"['sng', 6, 'lveosf', 2, 'lkeovf', 1, 'lkfosf', 1]",FALSE,FALSE,2
stýft,1,"['ssg', 1]",stíft,37,"['aa', 29, 'lhensf', 8]",TRUE,FALSE,1
sýð,1,"['sfg1en', 1]",síð,18,"['lvensf', 9, 'aa', 4, 'lhfosf', 2, 'lhfnsf', 1, 'lhfosf', 1, 'lvensf', 1]",TRUE,FALSE,1
sýður,29,"['sfg3en', 28, 'sfg2en', 1]",síður,747,"['aam', 728, 'nvfo', 16, 'nvfn', 2, 'lkensf', 1]",TRUE,FALSE,29
sýg,3,"['sfg1en', 3]",síg,5,"['sfg1en', 5]",FALSE,TRUE,3
sýgur,32,"['sfg3en', 32]",sígur,43,"['sfg3en', 43]",FALSE,TRUE,32
sýki,5,"['nven', 2, 'nveþ', 1, 'nveo', 1, 'svg3en', 1]",síki,5,"['nhen', 2, 'nken', 1, 'nheþ', 1, 'nhfn', 1]",TRUE,FALSE,5
sýkið,1,"['lheosf', 1]",síkið,8,"['nheog', 7, 'nheng', 1]",TRUE,FALSE,1
sýkin,1,"['nveng', 1]",síkin,1,"['nhfog', 1]",TRUE,FALSE,1
sýn,166,"['nveo', 119, 'nven', 28, 'nveþ', 15, 'nveþs', 2, 'lvensf', 1, 'nveos', 1]",sín,1981,"['fehfo', 886, 'fpkee', 469, 'fpkfe', 168, 'fpvee', 151, 'fphee', 128, 'feven', 85, 'fphfe', 48, 'fpvfe', 38, 'fehfn', 7, 'fphfo', 1]",TRUE,FALSE,166
sýna,958,"['sng', 771, 'sfg3fn', 183, 'lvenvf', 1, 'lveosf', 1, 'nvfe', 1, 'nhfe', 1]",sína,2757,"['feveo', 2097, 'fekfo', 653, 'x', 7]",TRUE,FALSE,958
sýnar,2,"['nvee', 1, 'x', 1]",sínar,748,"['fevfo', 748]",TRUE,FALSE,2
sýnir,360,"['sfg3en', 338, 'nvfo', 12, 'sfg2en', 5, 'svg2en', 3, 'nvfn', 2]",sínir,12,"['fekfn', 12]",TRUE,FALSE,12
sýnu,24,"['lheþsf', 24]",sínu,1820,"['feheþ', 1819, 'x', 1]",TRUE,FALSE,24
sýnum,39,"['nhfþ', 14, 'sfg1fn', 10, 'nvfþ', 9, 'svg1fn', 3, 'lhfþsf', 2, 'lkfþsf', 1]",sínum,4094,"['fekeþ', 2014, 'fevfþ', 728, 'fehfþ', 690, 'fekfþ', 662]",TRUE,FALSE,39
sýra,13,"['nven', 6, 'sng', 5, 'sfg3fn', 1, 'nvfe', 1]",síra,358,"['nken', 195, 'nkeo', 61, 'nkee', 36, 'nkfo', 30, 'nkeþ', 21, 'nkfe', 10, 'sng', 4, 'nkfo', 1]",FALSE,FALSE,13
týna,64,"['sng', 62, 'sfg3fn', 2]",tína,87,"['sng', 81, 'nven', 5, 'sfg3fn', 1]",FALSE,FALSE,64
týnast,22,"['snm', 15, 'sfm3fn', 7]",tínast,28,"['snm', 20, 'sfm3fn', 8]",FALSE,TRUE,22
týnd,34,"['lvensf', 33, 'lhfnsf', 1]",tínd,4,"['lvensf', 2, 'lhfnsf', 2]",FALSE,TRUE,4
týndar,3,"['lvfnsf', 3]",tíndar,1,"['lvfnsf', 1]",FALSE,TRUE,1
týndi,34,"['sfg3eþ', 23, 'lkenvf', 5, 'sfg1eþ', 5, 'svg3eþ', 1]",tíndi,57,"['sfg3eþ', 47, 'sfg1eþ', 9, 'svg3eþ', 1]",FALSE,FALSE,34
týndir,12,"['lkfnsf', 12]",tíndir,1,"['lkfnsf', 1]",FALSE,TRUE,1
týndist,13,"['sfm3eþ', 12, 'sfm1eþ', 1]",tíndist,7,"['sfm3eþ', 7]",FALSE,FALSE,7
týndu,13,"['sfg3fþ', 7, 'lheþsf', 3, 'svg3fþ', 1, 'lveþvf', 1, 'lkfevf', 1]",tíndu,12,"['sfg3fþ', 11, 'lvfnvf', 1]",FALSE,FALSE,12
týndum,6,"['lkeþsf', 3, 'lkfþsf', 2, 'sfg1fþ', 1]",tíndum,7,"['sfg1fþ', 4, 'svg1fþ', 2, 'lkfþsf', 1]",FALSE,FALSE,6
týndumst,3,"['sfm1fþ', 3]",tíndumst,1,"['sfm1fþ', 1]",FALSE,TRUE,1
týndust,9,"['sfm3fþ', 7, 'svm3fþ', 2]",tíndust,16,"['sfm3fþ', 16]",FALSE,FALSE,9
týni,5,"['sfg1en', 4, 'svg3en', 1]",tíni,4,"['sfg1en', 4]",FALSE,FALSE,4
týnir,5,"['sfg3en', 5]",tínir,26,"['sfg3en', 23, 'nken', 2, 'sfg2en', 1]",FALSE,FALSE,5
týnist,10,"['sfm3en', 4, 'svm3fn', 3, 'svm3en', 3]",tínist,3,"['sfm3en', 3]",FALSE,FALSE,3
týnt,38,"['ssg', 29, 'lhensf', 9]",tínt,12,"['ssg', 8, 'lhensf', 4]",FALSE,TRUE,12
týnum,5,"['sfg1fn', 4, 'svg1fn', 1]",tínum,1,"['sfg1fn', 1]",FALSE,FALSE,1
týpa,13,"['nven', 13]",típa,2,"['nven', 2]",FALSE,TRUE,2
ýl,1,"['nhen', 1]",íl,1,"['nkeo', 1]",TRUE,FALSE,1
ýsa,15,"['nven', 14, 'nvfe', 1]",ísa,2,"['sng', 1, 'nkfe', 1]",TRUE,FALSE,2
ýtarleg,2,"['lvensf', 2]",ítarleg,16,"['lvensf', 10, 'lhfnsf', 4, 'lhfosf', 2]",FALSE,FALSE,2
ýtarlega,6,"['aa', 5, 'lveosf', 1]",ítarlega,46,"['aa', 36, 'lveosf', 10]",FALSE,TRUE,6
ýtarlegan,1,"['lkeosf', 1]",ítarlegan,3,"['lkeosf', 3]",FALSE,TRUE,1
ýtarlegar,3,"['lvfnsf', 2, 'lvfosf', 1]",ítarlegar,22,"['lvfnsf', 15, 'lvfosf', 7]",FALSE,TRUE,3
ýtarlegri,3,"['lveþsf', 3]",ítarlegri,14,"['lvfovm', 3, 'lvenvm', 2, 'lveþsf', 2, 'lkfnvm', 2, 'lvfnvm', 2, 'lkenvm', 1, 'lhfnvm', 1, 'lveevm', 1]",FALSE,FALSE,3
ýtarlegt,2,"['lhensf', 2]",ítarlegt,5,"['lheosf', 3, 'lhensf', 2]",FALSE,FALSE,2
ýtarlegu,2,"['lheþsf', 2]",ítarlegu,3,"['lheþsf', 2, 'lveþvf', 1]",FALSE,FALSE,2
ýtarlegum,1,"['lvfþsf', 1]",ítarlegum,9,"['lvfþsf', 7, 'lkeþsf', 2]",FALSE,FALSE,1
ýtrasta,16,"['lheeve', 12, 'lheove', 3, 'lvenve', 1]",ítrasta,4,"['lheeve', 3, 'lheove', 1]",FALSE,FALSE,4
ýtrustu,13,"['lveove', 7, 'lvfove', 2, 'lvfþve', 2, 'lveþve', 1, 'lveeve', 1]",ítrustu,2,"['lveþve', 2]",FALSE,FALSE,2
þýddi,180,"['sfg3eþ', 159, 'svg3eþ', 17, 'sfg1eþ', 3, 'lkenvf', 1]",þíddi,1,"['sfg3eþ', 1]",FALSE,FALSE,1
þýða,186,"['sng', 154, 'nven', 11, 'sfg3fn', 10, 'nhfe', 4, 'lheþvf', 2, 'lkeþvf', 2, 'lvenvf', 1, 'lheovf', 1, 'lkfosf', 1]",þíða,8,"['sng', 5, 'nven', 3]",FALSE,FALSE,8
þýði,34,"['svg3en', 26, 'nheþ', 3, 'nhen', 2, 'sfg1en', 2, 'svg3fn', 1]",þíði,2,"['sfg1en', 1, 'svg3fn', 1]",FALSE,FALSE,2
þýðum,7,"['lkeþsf', 4, 'nhfþ', 1, 'sfg1fn', 1, 'lvfþsf', 1]",þíðum,1,"['nvfþ', 1]",TRUE,FALSE,1
þýtt,65,"['ssg', 44, 'sþghen', 16, 'lhensf', 4, 'lheosf', 1]",þítt,2,"['ssg', 1, 'lhensf', 1]",FALSE,FALSE,2
