Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
séns,30,"['nkeo', 19, 'nken', 8, 'nkee', 1, 'nkeþ', 1, 'lheesf', 1]",sens,3,"['nkeo', 3]",False,False,
prédikaði,7,"['sfg3eþ', 6, 'sfg1eþ', 1]",predikaði,2,"['sfg3eþ', 2]",False,False,
flétti,1,"['sfg3eþ', 1]",fletti,96,"['sfg3eþ', 73, 'sfg1en', 12, 'sfg1eþ', 9, 'svg3eþ', 2]",False,False,
flétta,14,"['sng', 11, 'nven', 3]",fletta,89,"['sng', 86, 'nven', 2, 'lheþvf', 1]",False,False,
véfengdi,1,"['sfg3eþ', 1]",vefengdi,2,"['sfg3eþ', 1, 'svg3eþ', 1]",False,False,
slétti,7,"['sfg3eþ', 5, 'svg3eþ', 1, 'lkenvf', 1]",sletti,24,"['sfg3eþ', 12, 'sfg1eþ', 9, 'svg3en', 3]",False,False,
snérist,2,"['sfm3eþ', 2]",snerist,176,"['sfm3eþ', 166, 'sfm1eþ', 9, 'sfm2eþ', 1]",False,False,
réri,4,"['sfg3eþ', 3, 'svg3eþ', 1]",reri,45,"['sfg3eþ', 31, 'svg3eþ', 9, 'sfg1eþ', 5]",False,False,
prédikanir,7,"['nvfo', 4, 'nvfn', 3]",predikanir,1,"['nvfo', 1]",False,False,
prédikun,6,"['nveo', 6]",predikun,3,"['nven', 2, 'nveo', 1]",False,False,
sléttir,13,"['lkfnsf', 10, 'sfg3en', 3]",slettir,20,"['sfg3en', 18, 'sfg2eþ', 1, 'sfg2en', 1]",False,False,
sléttan,8,"['lkeosf', 6, 'nveng', 2]",slettan,1,"['nveng', 1]",False,False,
slétta,22,"['sng', 17, 'lveosf', 2, 'lhenvf', 1, 'lkfosf', 1, 'nvfe', 1]",sletta,67,"['sng', 41, 'nven', 18, 'sfg3fn', 8]",False,False,
prédikarinn,3,"['nkeng', 2, 'nkengs', 1]",predikarinn,5,"['nkeng', 5]",False,False,
snéri,30,"['sfg3eþ', 28, 'sfg1eþ', 2]",sneri,848,"['sfg3eþ', 756, 'sfg1eþ', 78, 'svg3eþ', 14]",False,False,
prédikara,1,"['nkeþ', 1]",predikara,2,"['nkee', 1, 'nkeþ', 1]",False,False,
slétturnar,2,"['nvfng', 2]",sletturnar,8,"['nvfog', 5, 'nvfng', 3]",False,False,
ét,2,"['sfg1en', 2]",et,12,"['e', 8, 'x', 3, 'sfg1en', 1]",False,False,
snéru,2,"['sfg3fþ', 2]",sneru,94,"['sfg3fþ', 92, 'svg3fþ', 2]",False,False,
sléttist,2,"['sfm3eþ', 1, 'sfm3en', 1]",slettist,12,"['sfm3eþ', 11, 'sfm1fþ', 1]",False,False,
grasséra,1,"['sng', 1]",grassera,4,"['sng', 3, 'sfg3fn', 1]",False,False,
