Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
mána,11,"['nkeo', 6, 'nkeþ', 2, 'nkees', 2, 'nkeþs', 1]",mana,7,"['sng', 3, 'sfg3fn', 2, 'nkee', 1, 'sfg1en', 1]",True,False,
máni,8,"['nken', 7, 'nkens', 1]",mani,1,"['nheþ', 1]",True,False,
dánir,13,"['lkfnsf', 13]",danir,51,"['nkfns', 51]",True,False,
sátan,2,"['nveng', 2]",satan,17,"['nken', 10, 'nkeo', 4, 'nkeþ', 3]",True,False,
álfinn,2,"['nkeog', 2]",alfinn,2,"['nkeos', 2]",True,False,
hálir,3,"['lkfnsf', 3]",halir,2,"['nkfn', 2]",True,False,
krána,2,"['nveog', 2]",krana,30,"['nkeþ', 20, 'nkeo', 8, 'nkfo', 1, 'nkee', 1]",True,False,
dáður,5,"['lkensf', 5]",daður,8,"['nheo', 6, 'nhen', 2]",True,False,
stál,16,"['nhen', 9, 'nhfo', 3, 'nheo', 2, 'nhfn', 1, 'nven', 1]",stal,54,"['sfg3eþ', 39, 'sfg1eþ', 15]",True,False,
stráum,7,"['nhfþ', 6, 'sfg1fn', 1]",straum,31,"['nkeo', 29, 'nkeo', 1, 'nkeþ', 1]",True,False,
dragá,4,"['nvens', 3, 'nveo', 1]",draga,697,"['sng', 645, 'sfg3fn', 51, 'nven', 1]",True,False,
ál,6,"['nhen', 3, 'nheo', 2, 'nkeþ', 1]",al,21,"['e', 16, 'x', 5]",True,False,
áli,2,"['nheþ', 2]",ali,45,"['e', 45]",True,False,
rákir,7,"['nvfo', 4, 'nvfn', 3]",rakir,1,"['lkfnsf', 1]",True,False,
þverá,6,"['nveþ', 2, 'nveþs', 1, 'nvens', 1, 'nven', 1, 'nveos', 1]",þvera,18,"['lveosf', 8, 'sng', 7, 'lheevf', 1, 'lkfosf', 1, 'lheovf', 1]",True,False,
áls,1,"['nhee', 1]",als,12,"['nkee', 12]",True,False,
lágs,4,"['lheesf', 2, 'lkeesf', 2]",lags,20,"['nhee', 20]",True,False,
rák,5,"['nveo', 3, 'nven', 1, 'nveþ', 1]",rak,486,"['sfg3eþ', 425, 'sfg1eþ', 36, 'nheo', 15, 'nhen', 9, 'sfg3fþ', 1]",True,False,
káta,7,"['x', 4, 'lkeþvf', 1, 'lhenvf', 1, 'lkfosf', 1]",kata,194,"['nvens', 190, 'sng', 4]",True,False,
glás,5,"['nveo', 2, 'nven', 2, 'nveþ', 1]",glas,177,"['nheo', 158, 'nhen', 19]",True,False,
laxá,14,"['nveþs', 6, 'nveos', 4, 'nven', 3, 'nvens', 1]",laxa,5,"['nkfo', 2, 'nkfo', 1, 'nkfe', 1, 'nkeo', 1]",True,False,
hráka,2,"['nkfo', 2]",hraka,5,"['sng', 5]",True,False,
báts,4,"['nkee', 4]",bats,1,"['nhee', 1]",True,False,
fjáður,3,"['lkensf', 3]",fjaður,1,"['nhen', 1]",True,False,
gála,4,"['nven', 4]",gala,2,"['sfg3fn', 1, 'sng', 1]",True,False,
dána,7,"['lveosf', 2, 'lhenvf', 1, 'lkfosf', 1, 'lvenvf', 1, 'lkeevf', 1, 'lheovf', 1]",dana,52,"['nkfes', 50, 'nvens', 2]",True,False,
hámi,1,"['svg1en', 1]",hami,1,"['nkfo', 1]",True,False,
óráð,8,"['nheo', 3, 'lvensf', 3, 'nhen', 2]",órað,39,"['ssg', 39]",True,False,
hást,3,"['lhensf', 3]",hast,1,"['nhen', 1]",True,False,
ráma,5,"['lveosf', 2, 'sng', 2, 'nkfo', 1]",rama,7,"['e', 7]",True,False,
rásar,1,"['sfg3en', 1]",rasar,1,"['sfg2en', 1]",True,False,
