Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
rokinu,14,"['nheþg', 14]",rokkinu,1,"['nheþg', 1]",False,True,
jakar,4,"['nkfn', 4]",jakkar,3,"['nkfn', 3]",False,True,
lakinu,11,"['nheþg', 11]",lakkinu,5,"['nheþg', 5]",False,True,
stroka,4,"['sng', 4]",strokka,1,"['sng', 1]",False,True,
víki,3,"['svg3en', 3]",víkki,2,"['svg3en', 2]",False,True,
ekill,1,"['nken', 1]",ekkill,7,"['nken', 7]",False,True,
jakanum,3,"['nkeþg', 3]",jakkanum,62,"['nkeþg', 62]",False,True,
flakandi,7,"['slg', 7]",flakkandi,1,"['slg', 1]",False,True,
makanum,20,"['nkeþg', 20]",makkanum,2,"['nkeþg', 2]",False,True,
makinn,21,"['nkeng', 21]",makkinn,1,"['nkeng', 1]",False,True,
flaki,2,"['nheþ', 2]",flakki,10,"['nheþ', 10]",False,True,
flak,10,"['nhen', 7, 'nheo', 3]",flakk,15,"['nheo', 14, 'nhen', 1]",False,True,
rakann,6,"['nkeog', 6]",rakkann,2,"['nkeog', 2]",False,True,
foki,6,"['nheþ', 6]",fokki,1,"['nheþ', 1]",False,True,
makann,9,"['nkeog', 9]",makkann,10,"['nkeog', 10]",False,True,
rakan,3,"['lkeosf', 3]",rakkan,1,"['lkeosf', 1]",False,True,
jakinn,4,"['nkeng', 4]",jakkinn,14,"['nkeng', 14]",False,True,
blikuðu,3,"['sfg3fþ', 3]",blikkuðu,5,"['sfg3fþ', 5]",False,True,
hak,1,"['nhen', 1]",hakk,3,"['nhen', 3]",False,True,
rakans,1,"['nkeeg', 1]",rakkans,1,"['nkeeg', 1]",False,True,
dalinn,53,"['nkeog', 53]",dallinn,2,"['nkeog', 2]",False,True,
rolur,4,"['nvfn', 2, 'nvfo', 2]",rollur,6,"['nvfo', 5, 'nvfn', 1]",False,True,
skalann,3,"['nkeog', 3]",skallann,20,"['nkeog', 20]",False,True,
algóðan,2,"['lkeosf', 2]",allgóðan,3,"['lkeosf', 3]",False,True,
malaði,17,"['sfg3eþ', 17]",mallaði,3,"['sfg3eþ', 3]",False,True,
skalinn,1,"['nkeng', 1]",skallinn,7,"['nkeng', 7]",False,True,
miljónir,6,"['nvfn', 3, 'nvfo', 3]",milljónir,141,"['nvfn', 77, 'nvfo', 64]",False,True,
miljóna,2,"['nvfe', 2]",milljóna,32,"['nvfe', 32]",False,True,
dalur,8,"['nken', 8]",dallur,2,"['nken', 2]",False,True,
miljónum,1,"['nvfþ', 1]",milljónum,101,"['nvfþ', 101]",False,True,
kalinu,2,"['nheþg', 2]",kallinu,9,"['nheþg', 9]",False,True,
skjali,9,"['nheþ', 9]",skjalli,1,"['nheþ', 1]",False,True,
rolan,3,"['nveng', 3]",rollan,1,"['nveng', 1]",False,True,
bölum,3,"['nkfþ', 2, 'nhfþ', 1]",böllum,14,"['nhfþ', 13, 'nkfþ', 1]",False,True,
heilyndi,1,"['nheo', 1]",heillyndi,1,"['nheo', 1]",False,True,
altítt,5,"['lhensf', 5]",alltítt,1,"['lhensf', 1]",False,True,
algóðir,1,"['lkfnsf', 1]",allgóðir,1,"['lkfnsf', 1]",False,True,
skjals,1,"['nhee', 1]",skjalls,1,"['nhee', 1]",False,True,
halað,2,"['ssg', 2]",hallað,30,"['ssg', 30]",False,True,
dalurinn,16,"['nkeng', 16]",dallurinn,1,"['nkeng', 1]",False,True,
falinni,1,"['lveþsf', 1]",fallinni,3,"['lveþsf', 3]",False,True,
kristalsglösum,3,"['nhfþ', 3]",kristallsglösum,1,"['nhfþ', 1]",False,True,
heltust,1,"['sfm3fþ', 1]",helltust,10,"['sfm3fþ', 10]",False,True,
hölunum,1,"['nkfþg', 1]",höllunum,1,"['nkfþg', 1]",False,True,
dalsins,6,"['nkeeg', 6]",dallsins,1,"['nkeeg', 1]",False,True,
balanum,9,"['nkeþg', 9]",ballanum,1,"['nkeþg', 1]",False,True,
skalanum,2,"['nkeþg', 2]",skallanum,12,"['nkeþg', 12]",False,True,
halelúja,17,"['nhen', 13, 'nheo', 2, 'nhee', 2]",hallelúja,4,"['nhee', 2, 'nhen', 1, 'nheo', 1]",False,True,
halann,4,"['nkeog', 4]",hallann,6,"['nkeog', 6]",False,True,
halanum,4,"['nkeþg', 4]",hallanum,5,"['nkeþg', 5]",False,True,
kolunni,6,"['nveþg', 6]",kollunni,2,"['nveþg', 2]",False,True,
algóð,1,"['lvensf', 1]",allgóð,2,"['lvensf', 2]",False,True,
bolanum,1,"['nkeþg', 1]",bollanum,26,"['nkeþg', 26]",False,True,
höluðu,1,"['sfg3fþ', 1]",hölluðu,17,"['sfg3fþ', 17]",False,True,
koluna,3,"['nveog', 3]",kolluna,1,"['nveog', 1]",False,True,
briljantín,2,"['nheo', 2]",brilljantín,2,"['nheo', 2]",False,True,
svöluðu,1,"['sfg3fþ', 1]",svölluðu,1,"['sfg3fþ', 1]",False,True,
stemning,5,"['nven', 5]",stemmning,13,"['nven', 13]",False,True,
stemningin,12,"['nveng', 12]",stemmningin,8,"['nveng', 8]",False,True,
stemninguna,4,"['nveog', 4]",stemmninguna,12,"['nveog', 12]",False,True,
framámaður,5,"['nken', 5]",frammámaður,2,"['nken', 2]",False,True,
stemningunni,3,"['nveþg', 3]",stemmningunni,5,"['nveþg', 5]",False,True,
hatrama,1,"['lveosf', 1]",hatramma,1,"['lveosf', 1]",False,True,
liminu,1,"['nheþg', 1]",limminu,5,"['nheþg', 5]",False,True,
annaði,4,"['sfg3eþ', 4]",anaði,2,"['sfg3eþ', 2]",False,True,
auðunn,9,"['nkens', 9]",auðun,1,"['nkens', 1]",False,True,
bannar,12,"['sfg3en', 12]",banar,3,"['sfg3en', 3]",False,True,
brunnunum,4,"['nkfþg', 4]",brununum,1,"['nkfþg', 1]",False,True,
grenninu,1,"['nheþg', 1]",greninu,1,"['nheþg', 1]",False,True,
grunns,2,"['nkee', 2]",gruns,9,"['nkee', 9]",False,True,
kennderíi,1,"['nheþ', 1]",kenderíi,2,"['nheþ', 2]",False,True,
kynntum,1,"['sfg1fþ', 1]",kyntum,1,"['sfg1fþ', 1]",False,True,
mannar,1,"['sfg3en', 1]",manar,1,"['sfg3en', 1]",False,True,
